"id"," name"," count"
"0000","","0"
"5170","Umgebungsgeräusche","394"
"4626","pericoloso","213"
"5541","water","133"
"4822","culture","127"
"5695","ponti","118"
"5840","piazza","117"
"4723","accessibile","114"
"7148","sorocaba","88"
"5242","accesibilidade","78"
"4958","Precaución","72"
"6785","paseo","69"
"5760","ambiente affollato","67"
"5115","Geruch","66"
"4968","Iglesia","63"
"4669","ristorante","62"
"6882","exploración barrio","62"
"4845","Music","57"
"5019",". De referencia","57"
"5908","Venezia di notte","55"
"5903","Calle morta","54"
"5056","Tactile","52"
"4984","cafeteria","49"
"1710","bar","48"
"5799","pozzi","47"
"4896","garden","46"
"5161","Humboldt Universität","42"
"4705","campane","36"
"7885","Coaabitat","35"
"4825","shop","33"
"5922","Barcarizzi","33"
"6765","33Bienal","33"
"6796","poblats marítims","32"
"2889","Autobus","31"
"4790","tree","31"
"5120","railway stations","31"
"5152","history","31"
"4703","percorso loges","29"
"5231","Semáforos sonoros","29"
"4820","drinking fountain","27"
"4828","food","27"
"4679","machine","26"
"4715","temporaneo","26"
"4863","park","26"
"5085","art","26"
"5771","canal grande","26"
"6810","cabanyal","25"
"5034","Vögel","24"
"4668","scale","22"
"4675","riunione","22"
"5936","ghetto","22"
"6875","Pasqual","22"
"5148","water fountain","21"
"5296","Turismo","21"
"6051","plataforma única","21"
"4704","marciapiede","20"
"4810","library","20"
"5014","espacio abierto","20"
"5178","Benches","20"
"5619","niñas","20"
"5941","Calli","20"
"6250","fondamente","20"
"6802","puerto","20"
"5236","Deporte","19"
"5759","carnevale","19"
"5788","Gradini","18"
"5880","Sotoportego","18"
"6764","Pisos táteis","18"
"6948","Teatro","17"
"7529","Laramara","17"
"4120","testing","16"
"4975","carril bici","16"
"5339","Non accesible","16"
"5732","barche","16"
"5919","Calle chiusa","16"
"6247","natura","16"
"6666","Proyecto","16"
"6671","Palabras y más","16"
"4693","tram","15"
"5011","obstáculo","15"
"5391","Vaporetto","15"
"6114","Servizi","15"
"6369","mare","15"
"7322","Japan House","15"
"4624","sole","14"
"5283","Monumento","14"
"7631","MACS","14"
"4707","Science Politiche","13"
"5057","sculptures","13"
"5122","hotels","13"
"6050","carrers per a tothom","13"
"6126","suoni","13"
"7342","Paulista","13"
"4801","transport","12"
"4851","Vision Australia","12"
"5036","Kunstwerke","12"
"5041","S-Bahn","12"
"5173","Kaffeetische","12"
"5421","Workshop","12"
"5622","Gra miejska","12"
"6148","Relax","12"
"6210","bassorilievi","12"
"6809","calles","12"
"7239","centro cultural sp","12"
"4722","fioriere","11"
"5736","silenzio","11"
"6063","luci","11"
"4699","lavori","10"
"4812","good cafe","10"
"5039","Spielplatz","10"
"5140","Memorial","10"
"5247","Aparcamiento minusvalidos","10"
"5428","Szkola","10"
"5750","profumi","10"
"5855","vento","10"
"5864","Rumori","10"
"6814","Sensacions","10"
"4284","strada","9"
"4785","test","9"
"5698","Bacari","9"
"5753","persone","9"
"5965","mercato","9"
"6138","Targa","9"
"6390","binari","9"
"7058","hospital","9"
"5072","Fahrrad","8"
"5303","Parque","8"
"5804","mappe tattili","8"
"6039","porta","8"
"6079","Scultura","8"
"6130","descrizione","8"
"6778","Interiores","8"
"7965","Camí dels enamorats","8"
"4724","colonna","7"
"4795","furniture","7"
"4808","braille","7"
"5020","arte urbano","7"
"5037","u-Bahn","7"
"5104","Ampel","7"
"5137","tourists","7"
"5234","BlindWiki","7"
"6340","farmacia","7"
"6348","archi","7"
"7073","Arte callejero","7"
"7599","Memorial da América latina","7"
"7717","MAM","7"
"7839","Museu do Amanhã","7"
"4227","testApi","6"
"4228","apiTest","6"
"4352","pioggia","6"
"4865","leggende","6"
"4869","sportello","6"
"5092","Demonstration","6"
"5256","Cajero automatico","6"
"5314","Museos","6"
"5365","pueblos","6"
"5387","Scuola","6"
"5477","Przystanek","6"
"5738","gabbiani","6"
"5781","Aosta","6"
"5791","calma","6"
"5888","pianta","6"
"6025","San Rocco","6"
"6248","notturno","6"
"6266","sede centrale","6"
"6552","spiaggia","6"
"7079","muralla","6"
"7110","Chalé francês","6"
"7177","sampa","6"
"7506","Carlos","6"
"4700","inciviltà","5"
"4819","entrance","5"
"4955","Lumpen","5"
"4996","obstáculo aéreo","5"
"5075","Hund","5"
"5079","Interviews","5"
"5133","Neugier","5"
"5158","Orientierung","5"
"5167","Verkehr","5"
"5227","arquitectura","5"
"5281","Salud","5"
"5299","Banco","5"
"5304","Semáforo sin sonido","5"
"5357","jugos kerns","5"
"5456","Krasnale","5"
"5725","Trattoria Pontini","5"
"5742","libri","5"
"5762","Toilette","5"
"5767","Venezia","5"
"5879","gondola","5"
"5934","Scalini","5"
"5959","Redentore","5"
"5967","Mercato del pesce","5"
"5974","tranquillità","5"
"6069","marmo","5"
"6085","tatto","5"
"6086","legno","5"
"6116","shopping","5"
"6228","Pericolo acqua","5"
"6299","pace","5"
"6331","ca foscari","5"
"6341","tabacchi","5"
"6410","giudecca","5"
"6994","Upv","5"
"7199","Casa Modernista","5"
"7278","dança","5"
"7294","Exposições","5"
"7742","Brasil","5"
"7947","perill","5"
"7992","paisatge sonor","5"
"4832","sensorygarden","4"
"4954","Castelló","4"
"4962","repostería tradicional","4"
"5080","Oranienburgerstrasse","4"
"5081","CO Berlin","4"
"5100","sidewalk","4"
"5182","Football","4"
