id,name,count,name_eng
0,,0,
5170,Umgebungsgeräusche,394,Ambient noise
4626,pericoloso,213,dangerous
5541,water,133,water
4822,culture,127,culture
5695,ponti,118,bridges
5840,piazza,117,piazza
4723,accessibile,114,accessible
7148,sorocaba,88,sorocaba
5242,accesibilidade,78,accessibility
4958,Precaución,72,Caution
6785,paseo,69,paseo
5760,ambiente affollato,67,crowded environment
5115,Geruch,66,Odor
4968,Iglesia,63,Iglesia
4669,ristorante,62,ristorante
6882,exploración barrio,62,neighborhood exploration
4845,Music,57,Music
5019,. De referencia,57,. Reference
5908,Venezia di notte,55,Venice at night
5903,Calle morta,54,Dead calla
5056,Tactile,52,Tactile
4984,cafeteria,49,cafeteria
1710,bar,48,bar
5799,pozzi,47,wells
4896,garden,46,garden
5161,Humboldt Universität,42,Humboldt University
4705,campane,36,bells
7885,Coaabitat,35,He lives together
4825,shop,33,shop
5922,Barcarizzi,33,Barcarrizzi
6765,33Bienal,33,33Bienal
6796,poblats marítims,32,maritime towns
2889,Autobus,31,Bus
4790,tree,31,tree
5120,railway stations,31,railway stations
5152,history,31,history
4703,percorso loges,29,loges route
5231,Semáforos sonoros,29,Audible traffic lights
4820,drinking fountain,27,drinking fountain
4828,food,27,food
4679,machine,26,machine
4715,temporaneo,26,temporary
4863,park,26,park
5085,art,26,art
5771,canal grande,26,big channel
6810,cabanyal,25,cabin
5034,Vögel,24,Birds
4668,scale,22,scale
4675,riunione,22,meeting
5936,ghetto,22,ghetto
6875,Pasqual,22,Easter
5148,water fountain,21,water fountain
5296,Turismo,21,Turismo
6051,plataforma única,21,single platform
4704,marciapiede,20,sidewalk
4810,library,20,library
5014,espacio abierto,20,open space
5178,Benches,20,Benches
5619,niñas,20,girls
5941,Calli,20,Calli
6250,fondamente,20,foundations
6802,puerto,20,puerto
5236,Deporte,19,Sports
5759,carnevale,19,carnevale
5788,Gradini,18,Steps
5880,Sotoportego,18,Sotoportego
6764,Pisos táteis,18,Tactile floors
6948,Teatro,17,Theater
7529,Laramara,17,Laramara
4120,testing,16,testing
4975,carril bici,16,bike lane
5339,Non accesible,16,Non accesible
5732,barche,16,boats
5919,Calle chiusa,16,Calle closed
6247,natura,16,nature
6666,Proyecto,16,Project
6671,Palabras y más,16,Words and more
4693,tram,15,tram
5011,obstáculo,15,obstacle
5391,Vaporetto,15,Vaporetto
6114,Servizi,15,Services
6369,mare,15,mare
7322,Japan House,15,Japan House
4624,sole,14,sole
5283,Monumento,14,Monument
7631,MACS,14,MACS
4707,Science Politiche,13,Political Science
5057,sculptures,13,sculptures
5122,hotels,13,hotels
6050,carrers per a tothom,13,streets for everyone
6126,suoni,13,sounds
7342,Paulista,13,Paulista
4801,transport,12,transport
4851,Vision Australia,12,Vision Australia
5036,Kunstwerke,12,Artworks
5041,S-Bahn,12,S-Bahn
5173,Kaffeetische,12,Coffee tables
5421,Workshop,12,Workshop
5622,Gra miejska,12,City game
6148,Relax,12,Relax
6210,bassorilievi,12,bas-reliefs
6809,calles,12,streets
7239,centro cultural sp,12,sp cultural center
4722,fioriere,11,planters
5736,silenzio,11,silence
6063,luci,11,luci
4699,lavori,10,jobs
4812,good cafe,10,good cafe
5039,Spielplatz,10,playground
5140,Memorial,10,Memorial
5247,Aparcamiento minusvalidos,10,Disabled parking
5428,Szkola,10,School
5750,profumi,10,perfumes
5855,vento,10,vento
5864,Rumori,10,Noises
6814,Sensacions,10,Sensations
4284,strada,9,street
4785,test,9,test
5698,Bacari,9,Baccari
5753,persone,9,people
5965,mercato,9,market
6138,Targa,9,Targa
6390,binari,9,binary
7058,hospital,9,hospital
5072,Fahrrad,8,Bicycle
5303,Parque,8,Parque
5804,mappe tattili,8,tactile maps
6039,porta,8,porta
6079,Scultura,8,Sculpture
6130,descrizione,8,description
6778,Interiores,8,Interiors
7965,Camí dels enamorats,8,Path of lovers
4724,colonna,7,colonna
4795,furniture,7,furniture
4808,braille,7,braille
5020,arte urbano,7,urban art
5037,u-Bahn,7,u-Bahn
5104,Ampel,7,Traffic light
5137,tourists,7,tourists
5234,BlindWiki,7,BlindWiki
6340,farmacia,7,pharmacy
6348,archi,7,archi
7073,Arte callejero,7,street art
7599,Memorial da América latina,7,Memorial of Latin America
7717,MAM,7,MAM
7839,Museu do Amanhã,7,Museum of Tomorrow
4227,testApi,6,Testapipi
4228,apiTest,6,apiTest
4352,pioggia,6,rain
4865,leggende,6,legends
4869,sportello,6,door
5092,Demonstration,6,Demonstration
5256,Cajero automatico,6,ATM
5314,Museos,6,Museums
5365,pueblos,6,pueblos
5387,Scuola,6,School
5477,Przystanek,6,Stop
5738,gabbiani,6,seagulls
5781,Aosta,6,Aosta
5791,calma,6,calm
5888,pianta,6,plant
6025,San Rocco,6,San Rocco
6248,notturno,6,night
6266,sede centrale,6,headquarters
6552,spiaggia,6,beach
7079,muralla,6,wall
7110,Chalé francês,6,French Cottage
7177,sampa,6,branch
7506,Carlos,6,Carlos
4700,inciviltà,5,incivility
4819,entrance,5,entrance
4955,Lumpen,5,Rags
4996,obstáculo aéreo,5,aerial obstacle
5075,Hund,5,Dog
5079,Interviews,5,Interviews
5133,Neugier,5,curiosity
5158,Orientierung,5,orientation
5167,Verkehr,5,Traffic
5227,arquitectura,5,architecture
5281,Salud,5,Health
5299,Banco,5,Banco
5304,Semáforo sin sonido,5,Traffic light without sound
5357,jugos kerns,5,kern juices
5456,Krasnale,5,Dwarfs
5725,Trattoria Pontini,5,Pontini Trattoria
5742,libri,5,books
5762,Toilette,5,Toilette
5767,Venezia,5,Venezia
5879,gondola,5,gondola
5934,Scalini,5,Steps
5959,Redentore,5,Redeemer
5967,Mercato del pesce,5,Fish market
5974,tranquillità,5,calm
6069,marmo,5,marble
6085,tatto,5,touch
6086,legno,5,wood
6116,shopping,5,shopping
6228,Pericolo acqua,5,Water danger
6299,pace,5,pace
6331,ca foscari,5,like foscari
6341,tabacchi,5,tobacco
6410,giudecca,5,giudecca
6994,Upv,5,Upv
7199,Casa Modernista,5,Modernist House
7278,dança,5,dance
7294,Exposições,5,Exhibitions
7742,Brasil,5,Brazil
7947,perill,5,danger
7992,paisatge sonor,5,soundscape
4832,sensorygarden,4,sensorygarden
4954,Castelló,4,Castellón
4962,repostería tradicional,4,traditional pastry
5080,Oranienburgerstrasse,4,Oranienburgerstrasse
5081,CO Berlin,4,CO Berlin
5100,sidewalk,4,sidewalk
5182,Football,4,Football
5403,camino de santiago,4,road to santiago
5483,Zamek,4,Lock
5502,Staw,4,Joint
5532,ratusz,4,town hall
5538,center,4,center
5549,wywiad,4,interview
5621,silencio,4,silence
5644,Busstop,4,Bus stop
5681,Campo Santa Margherita,4,Campo Santa Margherita
5686,Capitello,4,Capital
5727,estacion,4,season
5802,iscrizioni,4,registrations
5854,Voci,4,Voices
5909,toccare,4,touch
5913,scorrimano,4,handrail
5926,fermata,4,stop
5927,Crocevia,4,Crossroads
5985,Eco,4,Eco
6027,rilievo,4,relief
6041,portico,4,portico
6042,chiostro,4,cloister
6155,Imbarcaderi,4,Piers
6173,primavera,4,primavera
6195,giochi,4,games
6316,Cortili,4,Courtyards
6421,view,4,view
6471,ponti morti,4,dead bridges
6505,Service,4,Service
6532,pozzo,4,pozzo
6670,Amor,4,Amor
7044,palmeras,4,palm trees
7141,mobilidade,4,mobility
7175,inclusão,4,inclusion
7180,pastel,4,pastel
7183,caldo de cana,4,sugarcane juice
7203,Curiosidade,4,Curiosity
7242,teste,4,test
7247,Cão guia,4,Guide dog
7323,Avenida Paulista,4,Avenida Paulista
7401,sao,4,sao
7412,Fiesp,4,Fiesp
7561,minhocão,4,worm
7610,Gastronomia,4,Gastronomy
7677,Bahia,4,Bahia
7681,Salvador,4,Salvador
7866,barcelona,4,barcelona
7900,estación norte,4,north station
7941,senderisme,4,hiking
8072,Dangerous,4,Dangerous
8194,centro,4,center
8210,garoa,4,time
8243,yokoham,4,yokoham
2902,pizza,3,pizza
4712,ponteggi,3,scaffolding
4816,courtyard,3,courtyard
4871,presidi sanitari,3,health facilities
4966,cosas raras,3,strange things
4981,Rampa,3,Ramp
4989,Barrera,3,Barrera
4993,Angelito de perrita,3,little dog angel
5000,niños correteando,3,children running around
5010,Acera a ras,3,sidewalk level
5062,Büro,3,Office
5068,Berlinische Galerie,3,Berlin Gallery
5070,Travel,3,Travel
5082,Postfuhramt,3,Post office
5112,Museumsinsel,3,Museum Island
5139,fences,3,fences
5141,experience,3,experience
5165,Stelenfeld,3,Stelenfeld
5174,Freunde,3,Friends
5184,playing fields,3,playing fields
5229,Piscinas,3,Swimming pools
5295,Alameda,3,Alameda
5329,catedral,3,cathedral
5392,padiglione catalano,3,Catalan pavilion
5402,Santiago de Compostela,3,Santiago de Compostela
5526,Bank pkobp rynek,3,Bank pkobp market
5565,klub,3,club
5587,Książki,3,Books
5740,Libreria,3,Bookshelf
5769,Appetitoso,3,Appetizing
5829,Colori,3,Colors
5874,santa Marta,3,Saint Martha
5877,Parco giochi,3,Playground
5878,basket,3,basket
5882,passaggio,3,ride
5886,calle stretta,3,narrow street
5898,Multidirezionale,3,Multidirectional
5942,Barca,3,Barca
5978,portale,3,portal
6019,pasticceria,3,pastry shop
6099,scuole,3,schools
6158,Squero,3,Squero
6189,entrata,3,entrance
6198,viale,3,avenue
6206,vuoto,3,empty
6221,abbandono,3,abandonment
6249,fruttivendoli,3,greengrocers
6280,osteria,3,osteria
6312,fortuny,3,fortune
6344,Gelato,3,Ice-cream
6366,divertimento,3,fun
6403,People Mover,3,People Mover
6483,Darsena,3,Darsena
6631,padiglione,3,pavilion
6649,pluja,3,rain
6678,túneles,3,tunnels
6813,concierto,3,concert
6834,Bullicio,3,Bustle
6863,l'horta,3,l'horta
6901,sombra,3,sombra
6954,sonora,3,sonora
7008,plaza de toros,3,bullring
7027,Nazaret,3,Nazareth
7040,La Roqueta,3,La Roqueta
7143,Deus,3,Deus
7161,feira livre,3,free market
7173,dorinanowill,3,dorinanowill
7197,ônibus,3,bus
7217,Vale do Anhangabau,3,Anhangabau Valley
7243,paulo,3,paulo
7250,acesso,3,access
7260,Vergueiro,3,Vergueiro
7261,bengala,3,Bengal
7314,Alex Flemming,3,Alex Flemming
7348,Hospital Santa Catarina,3,Santa Catarina Hospital
7430,casa,3,casa
7465,fotografia,3,photograph
7497,associação cadevi,3,cadevi association
7587,falta de acessibilidade,3,lack of accessibility
7598,GCM,3,GCM
7612,Barra Funda,3,Barra Funda
7632,morango,3,strawberry
7636,Museu,3,Museum
7639,arte contemporânea,3,contemporary art
7664,exposição,3,exhibition
7666,Sesc,3,Sesc
7758,trilha,3,trail
7762,Museu do folclore,3,Folklore Museum
7883,Street,3,Street
7893,Calle peatonal,3,Pedestrian street
7898,Camino,3,Camino
7915,Semàfor sonor,3,sound traffic light
7943,ruta,3,ruta
7950,Pont,3,Pont
7959,Cerdanya,3,Cerdanya
7978,primer tram,3,first tram
7991,Vall del corb,3,Raven Valley
7993,Vinyes,3,vines
8022,postal sonora,3,sound postcard
