id,tag,count,cluster,supertag,x,y
5170,Ambient noise,481,1,Sound,7.9961786,3.1140292
4626,dangerous,265,61,Safety,1.3982961,4.9146605
4723,accessible,171,50,Accessible,0.9632355,3.217748
4822,culture,143,10,Cultural,1.1700189,1.4388376
5541,water,141,4,Water,7.2461,4.7163734
5840,piazza,129,43,City,4.043603,3.6646402
5695,bridges,128,74,Bridges,4.7117705,1.4961998
7148,sorocaba,115,70,Sorocaba,3.5120037,8.134133
5242,accessibility,82,50,Accessible,0.95552045,3.2117996
6785,paseo,77,75,Paseo,4.0676594,8.456333
5760,crowded environment,76,76,Crowded Environment,2.0262098,3.024753
4958,Caution,74,61,Safety,1.4254165,4.769486
5115,Odor,72,77,Odor,0.2977515,8.363818
4968,Iglesia,68,52,Church,2.1265035,9.589066
6882,neighborhood exploration,68,44,Neighborhood,4.667221,3.9006767
4669,ristorante,66,12,Food,-0.3749325,9.765035
4845,Music,64,2,Music,7.4598436,1.9411236
2889,Bus,60,28,Station,3.7385297,-0.14155415
5056,Tactile,58,13,Touch,0.5194011,2.2198734
5019,. Reference,57,78,. Reference,-1.3100544,5.155315
1710,bar,57,11,Bars,0.60052514,8.850626
5903,Calle dead,57,79,Calle Dead,1.2772692,5.8073616
5908,Venice at night,55,80,Venice At Night,3.0710502,10.249077
4668,scale,53,81,Scale,2.5974019,4.127418
4984,cafeteria,51,12,Food,-0.45031792,9.695011
4703,Loges route,51,18,Path,3.004159,1.5486081
5799,wells,49,55,Stones,3.0925958,4.273664
4120,testing,47,0,Test,-2.3485155,6.6762867
4896,garden,47,21,Garden,5.510827,6.7223873
4715,temporary,46,82,Temporary,1.0358741,5.3060436
5161,Humboldt University,44,34,School,-1.8843731,4.3968472
4790,tree,41,19,Tree,6.10077,7.180257
7988,Yolei,41,70,Sorocaba,3.4618857,7.5359054
6796,maritime villages,41,5,Boat,8.357043,5.2243266
4679,machine,39,56,Works,1.8927275,4.0976067
6810,cabanyal,38,83,Cabanyal,3.9870188,8.724009
7885,Coagabitat SCIGUDIPARTIALIMITALIZATORALS from the Startac ATIPICEDIZIONI,37,84,Coagabitat Scigudipartialimitalizatorals From The Startac Atipicedizioni,2.9574745,8.146942
6765,33Bienal,37,85,33Bienal,2.0168736,7.7939415
4705,bells,37,1,Sound,7.6564293,2.7239203
4825,shop,36,39,Shopping,1.5619695,2.499127
5152,history,36,64,Contemporary,-0.24395908,5.7380533
1754,trial,34,0,Test,-2.1333861,6.582859
5120,railway stations,34,28,Station,3.1148787,-0.48912922
5922,BarCarizzi,33,53,Antoni,2.9913733,9.36229
4820,drinking fountain,32,4,Water,7.2057266,4.6981726
5296,Turismo,32,86,Turismo,3.8680084,8.251754
4704,sidewalk,31,36,Sidewalk,4.943928,0.7380631
7989,Yoley,31,70,Sorocaba,3.404929,7.453279
7990,Yoli,31,70,Sorocaba,3.4465494,7.5406923
5231,Sound traffic lights,30,31,Night,5.8678584,2.8021307
4863,park,30,22,Park,5.208766,5.724346
4785,test,29,0,Test,-2.3056421,6.6475425
5085,art,29,15,Paintings,-0.18657798,1.7566605
5619,Girls,28,35,Children,-1.1761872,4.08318
4828,food,27,12,Food,-0.20469554,9.532524
5034,Birds,26,7,Birds,6.2870436,5.6719913
5771,Large channel,26,5,Boat,8.470322,5.0078597
4675,meeting,26,45,Meeting,-0.8962231,4.7661204
6764,Tactile floors,25,13,Touch,0.6283054,2.2230277
5339,Non accesible,24,50,Accessible,0.96867514,3.2565517
4693,tram,24,28,Station,3.42012,-0.2265089
4624,sole,24,87,Sole,1.4795116,6.5369463
5936,ghetto,23,43,City,4.3087063,3.6597579
5788,Steps,22,27,Steps,3.4055898,2.269746
5941,Calli,22,88,Calli,2.3718274,7.1676426
6875,Paschal,22,69,Sobieszewo,2.2042658,6.9346576
6051,unique platform,22,51,Office,0.6948964,3.6515744
4671,pebbles,22,55,Stones,2.9872234,4.2200375
6802,puerto,22,5,Boat,8.514629,5.0176682
5148,water fountain,22,4,Water,7.242699,4.7126904
6250,foundations,22,56,Works,2.6224499,4.6327147
4810,library,21,23,Poetry,-1.8065841,5.3049207
4722,planner,21,51,Office,1.0040132,3.908216
5236,Deport,21,25,Door,3.2735786,3.028138
5178,Benches,21,22,Park,5.1602,5.759035
5014,open space,20,89,Open Space,2.976153,4.5618186
7322,Japan House,19,42,Home,4.104764,4.7277927
4227,Testapipi,19,69,Sobieszewo,2.074852,6.7485185
4228,apiTest,19,0,Test,-2.3379176,6.66625
5759,carnevale,19,90,Carnevale,2.217174,3.1465921
4801,transport,19,91,Transport,3.5313816,0.021982374
5011,obstacle,19,56,Works,2.1904993,4.320982
4975,Bike lane,19,24,Bike,3.7918255,0.8714327
7529,Laramara,18,92,Laramara,4.433555,8.623602
6948,Theater,18,2,Music,6.9214444,1.7580017
5880,Sotoporty,18,93,Sotoporty,4.003667,8.951162
6666,Project,18,56,Works,1.7579808,4.0009723
6671,Words and more,18,64,Contemporary,-0.48265958,5.884242
5036,Works of art,17,15,Paintings,-0.10366539,1.710474
4700,incivility,17,47,Israel,0.38222405,4.9824576
7631,MACS,16,51,Office,0.6580106,3.689762
5283,Monument,16,9,Museum,0.57003146,1.1241422
5732,boats,16,5,Boat,8.552926,5.1223993
7239,SP Cultural Center,16,10,Cultural,1.1611744,1.1087512
6050,streets for everyone,16,36,Sidewalk,4.971566,0.7296524
6814,Sensations,16,48,Sensations,-0.7520252,6.866199
5391,Vaporetto,16,94,Vaporetto,2.727883,6.958208
6114,Services,16,51,Office,0.7754088,3.969905
5919,Calle Chiusa,16,95,Calle Chiusa,3.4486334,8.621719
8001,saidus,15,96,Saidus,0.30178958,6.575479
5057,sculptures,15,97,Sculptures,0.3192807,1.6078764
6148,Relax,15,3,Quiet,-1.2687159,8.249693
