supertag,count
Ambient,580
Miscellaneous,397
Dangerous,360
Accessible,301
City,291
Restaurant,287
Water,245
History,175
Culture,173
Test,173
Music,164
Boats,163
Walk,156
Italian culture,144
Well,142
Railway,133
Trail,129
Square,129
Bridge,128
Church,124
Yolei,116
Tactile,112
Platform,110
University,105
Christianity,105
Sidewalk,99
House,99
Park,92
Art,92
Bar,87
Garden,87
Machine,83
Smell,83
Crowded Environment,76
Museum,75
Street,73
Neighborhood,68
Tranquillity,68
Shop,67
Tree,64
Politics,61
Blind,61
Birds,61
Bus,60
Reference point,57
Game,53
German culture,50
Open space,49
Library,48
Girls,47
Sights,47
Door,44
Rain,43
Brazilian culture,43
Fair,41
Steps,41
Bicycle,40
Traffic Light,37
Transport,35
Traveling,34
Hospital,34
Fruits,33
Sculpture,33
Tourism,32
Market,29
Terrace,27
Village,27
Friends,27
Architecture,26
Meeting,26
Obstacle,26
Hello,26
Exhibition,25
Foundations,22
Interview,22
Crossing,21
Sport,21
Night,21
Wall,19
Words,18
Fish,18
Dance,18
Photography,16
Toilette,16
Sensations,16
Furniture,15
Joke,15
Road,14
Multiple,14
Workshop,13
Hotel,13
Light,11
Disabilities Parking,11
Braille,10
Spanish culture,10
People,9
Love,8
Description,8
Plans,7
Headquarters,6
ATM,6
Beach,6
Traffic,6
