id,tag,count,cluster,supertag,x,y,original_supertag
5170,Ambient noise,481,4,Ambient,1.5520352,5.0488186,Ambient
4626,dangerous,265,56,Dangerous,8.659025,5.450164,Dangerous
4723,accessible,171,51,Accessible,8.930139,7.4847527,Accessible
4822,culture,143,17,Culture,5.7371187,7.615012,Culture
5541,water,141,1,Water,3.8285098,2.9683156,Water
5840,piazza,129,77,Square,5.9146037,3.4683807,Piazza_77
5695,bridges,128,78,Bridge,4.308166,8.446429,Bridges
7148,sorocaba,115,76,City,7.935127,1.8130257,Sorocaba
5242,accessibility,82,51,Accessible,8.924149,7.510772,Accessible
6785,paseo,77,73,Walk,6.9373116,1.5179319,Paseo
5760,crowded environment,76,79,Crowded Environment,9.791188,7.0796556,Crowded Environment
4958,Caution,74,56,Dangerous,8.685478,5.5089617,Dangerous
5115,Odor,72,80,Smell,10.041043,3.1851323,Odor
4968,Iglesia,68,60,Church,7.8427615,-0.16482408,Iglesia
6882,neighborhood exploration,68,81,Neighborhood,5.627165,3.6089773,Neighborhood Exploration
4669,ristorante,66,8,Restaurant,11.823046,1.2668939,Restaurant
4845,Music,64,5,Music,2.3267233,5.7482553,Music
2889,Bus,60,82,Bus,5.2618337,10.094073,Bus
5056,Tactile,58,50,Tactile,7.2764225,7.5965843,Tactile
5019,. Reference,57,83,Reference point,10.895589,6.8861117,. Reference
1710,bar,57,7,Bar,10.525606,1.3546432,Bar
5903,Calle dead,57,84,Street,9.221258,4.703662,Calle Dead
5908,Venice at night,55,85,Italian culture,6.7499213,-0.09254145,Venice At Night
4668,scale,53,86,Trail,8.112898,6.0072765,Scale
4984,cafeteria,51,8,Restaurant,11.828975,1.4997267,Restaurant
4703,Loges route,51,24,Trail,7.0726137,8.712647,Loges
5799,wells,49,53,Well,7.0653257,6.0201974,Wells
4120,testing,47,3,Test,12.724883,5.5870266,Test
4896,garden,47,10,Garden,10.04894,0.56577325,Garden
4715,temporary,46,67,History,9.279261,5.0657663,Temporary
5161,Humboldt University,44,40,University,11.068715,7.9243727,Humboldt
4790,tree,41,6,Tree,9.651167,0.058119606,Tree
7988,Yolei,41,75,Yolei,8.518145,1.9627782,Yolei
6796,maritime villages,41,0,Boats,4.0176735,1.8678215,Boats
4679,machine,39,55,Machine,7.646833,5.6364784,Machine
6810,cabanyal,38,87,House,6.64388,1.8864404,Cabanyal
7885,Coagabitat SCIGUDIPARTIALIMITALIZATORALS from the Startac ATIPICEDIZIONI,37,76,City,7.90358,1.912634,Sorocaba
6765,33Bienal,37,88,Italian culture,8.058454,3.1536584,33Bienal
4705,bells,37,4,Ambient,1.6025282,5.3659596,Ambient
4825,shop,36,45,Shop,6.286977,5.7446475,Shop
5152,history,36,67,History,10.191493,4.6961126,Temporary
1754,trial,34,3,Test,12.510615,5.495567,Test
5120,railway stations,34,22,Railway,5.925498,10.548285,Railway
5922,BarCarizzi,33,59,Italian culture,7.4249716,0.64936304,Barcarizzi
4820,drinking fountain,32,1,Water,3.8667636,3.0393178,Water
5296,Turismo,32,89,Tourism,7.470651,1.8221822,Turismo
4704,sidewalk,31,32,Sidewalk,4.044931,9.46137,Sidewalks
7989,Yoley,31,90,Yolei,8.564474,1.9662172,Yoley
7990,Yoli,31,75,Yolei,8.5109625,1.9758503,Yolei
5231,Sound traffic lights,30,91,Traffic Light,3.95322,7.302308,Sound Traffic Lights
4863,park,30,26,Park,4.8222694,4.752082,Park
4785,test,29,3,Test,12.72824,5.5981483,Test
5085,art,29,48,Art,6.5362654,7.3256874,Art
5619,Girls,28,41,Girls,10.465439,7.344217,Girls
4828,food,27,8,Restaurant,11.594013,1.5709697,Restaurant
5034,Birds,26,11,Birds,10.9431,2.7367027,Birds
5771,Large channel,26,0,Boats,3.702358,1.9779509,Boats
4675,meeting,26,92,Meeting,10.766019,6.5534863,Meeting
6764,Tactile floors,25,50,Tactile,7.3179355,7.66339,Tactile
5339,Non accesible,24,51,Accessible,8.908035,7.4973006,Accessible
4693,tram,24,22,Railway,5.6641655,10.318623,Railway
4624,sole,24,65,Miscellaneous,9.39736,3.799937,Sole
5936,ghetto,23,36,City,5.3988433,3.6455245,Ciudad
5788,Steps,22,18,Steps,6.8994126,9.3869505,Steps
5941,Calli,22,93,Miscellaneous,9.018402,2.8565698,Calli
6875,Paschal,22,68,Miscellaneous,8.58445,2.8204277,Paschal
6051,unique platform,22,52,Platform,9.161272,6.975252,Platforms
4671,pebbles,22,53,Well,6.868686,6.388263,Wells
6802,puerto,22,0,Boats,3.673767,1.9449908,Boats
5148,water fountain,22,1,Water,3.8342128,2.996819,Water
6250,foundations,22,94,Foundations,8.035949,5.223072,Foundations
4810,library,21,38,Library,11.392446,7.1132784,Library
4722,planner,21,95,Miscellaneous,8.607935,6.35827,Planner
5236,Deport,21,96,Sport,8.236524,6.987689,Deport
5178,Benches,21,26,Park,5.001624,4.918578,Park
5014,open space,20,30,Open space,6.9391203,4.5280957,Open
7322,Japan House,19,34,House,5.939353,4.786053,Japan
4227,Testapipi,19,97,Miscellaneous,8.868572,3.2205296,Testapipi
4228,apiTest,19,3,Test,12.712308,5.5776925,Test
5759,carnevale,19,27,Fair,5.2821403,5.6722193,Carnevale
4801,transport,19,98,Transport,5.5991983,10.036668,Transport
5011,obstacle,19,99,Obstacle,8.38944,5.995829,Obstacle
4975,Bike lane,19,21,Bicycle,5.0400634,8.962937,Bike
7529,Laramara,18,72,Christianity,6.53405,1.6944867,San
6948,Theater,18,5,Music,3.1243317,5.649037,Music
5880,Sotoporty,18,73,Walk,6.896415,1.1326488,Paseo
6666,Project,18,53,Well,7.5563755,5.9795938,Wells
6671,Words and more,18,100,Words,11.120205,5.708318,Words And More
5036,Works of art,17,48,Art,6.4958887,7.310514,Art
4700,incivility,17,58,Politics,9.70617,5.680933,Incivility
7631,MACS,16,52,Platform,9.144144,6.954125,Platforms
5283,Monument,16,19,Museum,5.912536,6.8288546,Museum
5732,boats,16,0,Boats,3.7924426,1.810155,Boats
7239,SP Cultural Center,16,17,Culture,5.5843825,7.4578457,Culture
6050,streets for everyone,16,32,Sidewalk,4.039372,9.443518,Sidewalks
6814,Sensations,16,101,Sensations,10.89805,4.107339,Sensations
5391,Vaporetto,16,102,Transport,8.495535,2.4579778,Vaporetto
6114,Services,16,52,Platform,9.220718,6.3369823,Platforms
5919,Calle Chiusa,16,103,Street,7.092541,1.6604846,Calle Chiusa
8001,saidus,15,104,Miscellaneous,10.689216,4.605959,Saidus
5057,sculptures,15,105,Sculpture,6.412437,6.932415,Sculptures
6148,Relax,15,2,Tranquillity,12.643002,3.4120078,Tranquillity
5041,S-Bahn,15,22,Railway,5.779781,10.413769,Railway
5622,City game,15,36,City,5.1820474,3.6776512,Ciudad
6369,mare,15,0,Boats,4.0939217,2.0894756,Boats
4795,furniture,15,106,Furniture,5.7791753,4.897421,Furniture
4699,jobs,14,55,Machine,7.7267823,5.7790728,Machine
5039,playground,14,26,Park,4.795609,4.87576,Park
5173,Coffee table,14,8,Restaurant,11.9990635,1.8236111,Restaurant
6210,bas -reliefs,14,5,Music,2.45036,5.6098585,Music
6247,nature,14,30,Open space,6.9919615,4.144004,Open
7342,Paulista,14,73,Walk,7.151241,1.4483608,Paseo
4707,Political sciences,14,58,Politics,10.021154,5.5781183,Incivility
6126,sounds,14,4,Ambient,1.6302952,5.274211,Ambient
5428,School,13,40,University,10.8918495,7.913334,Humboldt
4284,street,13,32,Sidewalk,4.0561414,9.480482,Sidewalks
7997,A,13,70,Miscellaneous,10.856736,5.2805157,Mislata
7998,of the,13,107,Miscellaneous,10.516684,5.02508,Of The
5421,Workshop,13,108,Workshop,7.625524,6.092385,Workshop
7999,three,13,69,Miscellaneous,10.688703,5.4834046,Three
6809,streets,13,32,Sidewalk,4.08618,9.462808,Sidewalks
5122,hotels,13,109,Hotel,5.391358,4.5359583,Hotels
4851,Vision Australia,13,15,Blind,7.938334,8.380309,Vision
6778,Interior,12,110,Miscellaneous,6.0090146,4.9428205,Interior
5698,Bacari,12,111,Bar,6.5166335,1.8880734,Bacari
5314,Museos,11,19,Museum,5.572486,6.983784,Museum
6063,luci,11,112,Light,4.0718927,6.963187,Luci
5736,silence,11,2,Tranquillity,12.688903,3.7248127,Tranquillity
5247,Disabilities parking,11,113,Disabilities Parking,5.9199634,9.694695,Disabilities Parking
5140,Memorial,11,19,Museum,5.7005825,6.781638,Museum
6367,Scalea,11,114,City,8.481715,2.4582675,Scalea
4812,good cafe,11,8,Restaurant,11.857675,1.3254282,Restaurant
5227,architecture,11,33,Architecture,5.6133165,4.1895933,Architecture
5750,perfumes,11,115,Smell,10.134517,3.0841358,Perfumes
4808,braille,10,116,Braille,7.448699,2.3646612,Braille
5864,Noise,10,4,Ambient,1.4935952,4.9718843,Ambient
7866,barcelona,10,117,Spanish culture,6.214486,1.4893419,Barcelona
5855,vento,10,13,Rain,4.386138,5.852823,Rain
4352,rain,10,13,Rain,4.259208,6.073811,Rain
3683,Testing,9,3,Test,12.71751,5.5860715,Test
5303,Parque,9,26,Park,4.826261,4.733803,Park
5965,market,9,44,Market,6.001852,5.753102,Market
5753,people,9,118,People,9.908125,7.0127225,People
5804,Tactile maps,9,50,Tactile,7.280673,7.394096,Tactile
6079,Sculpture,9,119,Sculpture,6.425621,6.916412,Sculpture
6390,binary,9,62,Miscellaneous,8.1935005,3.6117096,Hhbb
5365,pueblos,9,37,Village,5.829416,3.689218,Pueblos
4724,colonna,9,120,Sculpture,8.531058,2.7047448,Colonna
6138,Targa,9,76,City,7.993237,1.9109038,Sorocaba
5229,Pool,9,1,Water,3.816019,2.981512,Water
6130,description,8,121,Description,10.843406,5.836625,Description
5037,u-Bahn,8,22,Railway,5.788785,10.418267,Railway
6513,Hello,8,71,Hello,11.634365,4.3908377,Hello
5234,Blindwiki,8,15,Blind,8.534365,8.727068,Vision
7242,test,8,3,Test,12.708398,5.561702,Test
5072,Bicycle,8,21,Bicycle,5.0810876,8.978153,Bike
7965,Way of lovers,8,122,Love,10.703455,4.3649817,Way Of Lovers
7996,Wednesday,8,123,Miscellaneous,8.535644,-0.0053434162,Wednesday
6039,porta,8,46,Door,8.261816,7.4707007,Porta
4996,aerial obstacle,7,124,Obstacle,8.129155,6.0281806,Aerial Obstacle
