tag_id,text,cluster,count,x,y
5170,Ambient noise,27,394,8.136525,2.1553655
4626,dangerous,-1,213,3.3378453,4.9289937
5541,water,23,133,6.0362043,8.332509
4822,culture,29,127,4.434802,2.0297832
5695,bridges,-1,118,0.100631945,3.2168155
5840,piazza,-1,117,0.8231542,7.919399
4723,accessible,49,114,3.2460186,3.1395903
7148,sorocaba,58,88,3.597827,8.647178
5242,accessibility,49,78,3.2428353,3.1043057
4958,Caution,51,72,2.9427361,4.428611
6785,paseo,57,69,2.8379173,9.265868
5760,crowded environment,-1,67,2.961949,2.5204666
5115,Odor,-1,66,6.860462,9.362719
4968,Iglesia,41,63,0.71650726,9.803487
4669,ristorante,15,62,7.4956636,10.456847
6882,neighborhood exploration,22,62,1.1546562,7.4544234
4845,Music,30,57,7.171884,1.3155406
5019,. Reference,-1,57,4.9830117,3.3824644
5908,Venice at night,50,55,2.2617018,10.645104
5903,Dead calla,54,54,4.02545,5.0869846
5056,Tactile,34,52,6.911803,5.7490315
4984,cafeteria,15,49,7.4487596,10.344849
1710,bar,14,48,6.4098587,9.965449
5799,wells,46,47,5.0320706,6.8056
4896,garden,21,46,5.2620277,9.884125
5161,Humboldt University,16,42,3.249397,0.7805737
4705,bells,-1,36,7.567844,2.3465803
7885,He lives together,-1,35,3.2876792,7.2716837
4825,shop,37,33,2.0428326,5.437806
5922,Barcarrizzi,57,33,2.77923,9.68159
6765,33Bienal,-1,33,3.6637776,7.3382363
6796,maritime towns,1,32,-1.6217289,7.8306923
2889,Bus,3,31,-1.3931509,3.0790877
4790,tree,20,31,5.112827,10.470465
5120,railway stations,3,31,-1.2210022,3.712854
5152,history,61,31,5.060555,4.0265083
4703,loges route,33,29,3.890424,2.5053763
5231,Audible traffic lights,25,29,7.4727306,7.0325856
4820,drinking fountain,23,27,6.0168285,8.262
4828,food,15,27,7.3450794,9.992643
4679,machine,-1,26,3.25621,5.87123
4715,temporary,-1,26,5.1238775,4.633547
4863,park,10,26,-0.96441394,5.638468
5085,art,35,26,7.7706075,5.549352
5771,big channel,1,26,-1.3209963,7.441861
6810,cabin,22,25,0.82963383,6.317433
5034,Birds,12,24,7.79338,8.192436
4668,scale,-1,22,3.5887306,5.4856095
4675,meeting,-1,22,4.9532576,2.505308
5936,ghetto,22,22,0.741161,7.3588614
6875,Easter,40,22,0.29744425,9.543591
5148,water fountain,23,21,6.00674,8.267739
5296,Turismo,-1,21,3.0622318,9.302296
6051,single platform,49,21,2.8229163,3.3798006
4704,sidewalk,9,20,-0.28043652,1.6195529
4810,library,47,20,5.1971273,3.1137893
5014,open space,22,20,2.0302253,7.3233194
5178,Benches,10,20,-0.8454194,5.6420813
5619,girls,17,20,3.0562863,1.6287128
5941,Calli,58,20,3.8186455,8.571019
6250,foundations,-1,20,4.1358976,5.800041
6802,puerto,1,20,-1.5823101,7.7954555
5236,Sports,11,19,-0.25517642,4.90009
5759,carnevale,-1,19,0.5595523,5.3767834
5788,Steps,0,18,1.3817297,0.1621389
5880,Sotoportego,57,18,2.5214372,9.240679
6764,Tactile floors,34,18,6.8093076,5.719448
6948,Theater,-1,17,6.5557246,1.20495
7529,Laramara,-1,17,2.7447584,8.74256
4120,testing,56,16,5.045825,5.4750295
4975,bike lane,7,16,-0.3571087,2.645416
5339,Non accesible,49,16,3.268258,3.2218037
5732,boats,1,16,-1.5987611,7.808052
5919,Calle closed,-1,16,3.6646109,4.6868353
