tag_id,text,cluster,count,x,y
5170,Ambient noise,4,481,2.0731132,6.977488
4626,dangerous,51,265,8.827334,6.090005
4723,accessible,63,171,10.1065235,7.0356507
4822,culture,6,143,11.01803,7.386343
5541,water,1,141,3.4994302,5.073169
5840,piazza,-1,129,6.4685183,6.586823
5695,bridges,32,128,6.9350266,9.775045
7148,sorocaba,67,115,6.6474633,2.8757386
5242,accessibility,63,82,10.115699,7.0504894
6785,paseo,66,77,5.980549,2.924869
5760,crowded environment,23,76,5.929107,6.6150703
4958,Caution,51,74,8.874786,6.1221504
5115,Odor,-1,72,9.536342,2.3253853
4968,Iglesia,53,68,5.9913874,1.0941019
6882,neighborhood exploration,45,68,6.785802,7.6730595
4669,ristorante,15,66,9.942018,0.9554167
4845,Music,3,64,2.934456,7.8931875
2889,Bus,28,60,7.272688,11.40155
5056,Tactile,18,58,9.553214,8.907941
5019,. Reference,-1,57,11.076417,5.2445664
1710,bar,9,57,8.911951,1.3619945
5903,Calle dead,-1,57,9.0183935,5.144477
5908,Venice at night,-1,55,4.9090776,1.3906991
4668,scale,41,53,8.294166,8.297155
4984,cafeteria,-1,51,10.142123,1.1008002
4703,Loges route,30,51,8.642059,9.714931
5799,wells,40,49,8.322463,7.809082
4120,testing,0,47,13.268083,5.5558352
4896,garden,8,47,8.197425,0.73697376
4715,temporary,60,46,9.318223,5.434713
5161,Humboldt University,27,44,12.629335,3.8161309
4790,tree,5,41,7.829072,0.22927158
7988,Yolei,67,41,7.2012057,3.145211
6796,maritime villages,2,41,3.0488727,4.099581
4679,machine,46,39,8.568992,6.766796
6810,cabanyal,66,38,5.8707323,3.2347066
7885,Coagabitat SCIGUDIPARTIALIMITALIZATORALS from the Startac ATIPICEDIZIONI,67,37,6.8597174,2.6414902
6765,33Bienal,-1,37,7.0189285,4.015651
4705,bells,4,37,2.3216343,7.20338
4825,shop,22,36,6.2414365,5.72148
5152,history,65,36,10.620496,4.5472655
1754,trial,0,34,13.114276,5.4825587
5120,railway stations,28,34,7.947618,11.633058
5922,BarCarizzi,54,33,5.9196653,1.9059939
4820,drinking fountain,1,32,3.4648817,5.1082864
5296,Turismo,-1,32,6.31942,3.0320196
4704,sidewalk,33,31,6.0796204,10.504001
7989,Yoley,67,31,7.341745,3.2118156
7990,Yoli,67,31,7.171108,3.1230228
5231,Sound traffic lights,20,30,5.5054064,9.7040415
4863,park,24,30,5.191863,6.790909
4785,test,0,29,13.223695,5.537289
5085,art,19,29,10.704908,8.90373
5619,Girls,36,28,11.907426,3.3554246
4828,food,16,27,9.811919,1.3225006
5034,Birds,10,26,4.358071,6.2214174
5771,Large channel,2,26,3.0014935,4.3463235
4675,meeting,-1,26,11.607687,4.919314
6764,Tactile floors,18,25,9.419678,8.893009
5339,Non accesible,63,24,10.037504,7.076149
4693,tram,28,24,7.6284375,11.502643
4624,sole,61,24,8.568922,3.783975
5936,ghetto,-1,23,6.837678,6.9937677
5788,Steps,37,22,7.931127,8.939158
5941,Calli,-1,22,7.464097,3.2956882
6875,Paschal,-1,22,8.0167885,3.4212813
6051,unique platform,63,22,10.085713,6.6632833
4671,pebbles,47,22,8.720206,8.077426
6802,puerto,2,22,2.9099336,4.2671924
5148,water fountain,1,22,3.506531,5.1168494
6250,foundations,-1,22,8.427265,6.385999
4810,library,-1,21,11.887954,4.3444953
4722,planner,-1,21,9.547884,6.699305
5236,Deport,48,21,8.664319,7.356416
5178,Benches,24,21,5.2659464,6.780283
5014,open space,-1,20,7.368281,7.6491976
7322,Japan House,42,19,7.357143,6.823405
4227,Testapipi,-1,19,8.132173,3.6660488
4228,apiTest,0,19,13.252038,5.579266
5759,carnevale,23,19,5.799824,6.872658
4801,transport,-1,19,7.450339,11.200045
5011,obstacle,46,19,8.811093,6.735983
4975,Bike lane,31,19,7.1531196,10.387714
7529,Laramara,-1,18,5.648366,3.249506
6948,Theater,-1,18,3.6840327,7.831494
5880,Sotoporty,66,18,5.721848,2.5124228
6666,Project,57,18,9.27806,7.0173397
6671,Words and more,-1,18,10.865259,4.589928
5036,Works of art,19,17,10.80521,8.823367
4700,incivility,60,17,9.799334,5.331816
7631,MACS,63,16,10.141997,6.672114
5283,Monument,-1,16,11.13724,8.352563
5732,boats,2,16,2.8124769,4.1425943
7239,SP Cultural Center,-1,16,11.258848,7.8636227
6050,streets for everyone,33,16,6.0583763,10.511055
6814,Sensations,-1,16,9.985688,2.8456285
5391,Vaporetto,-1,16,7.6366477,3.083953
6114,Services,64,16,9.774424,6.3976707
5919,Calle Chiusa,66,16,6.1314983,2.7801313
8001,saidus,-1,15,9.943265,3.722617
5057,sculptures,-1,15,10.338136,8.653639
6148,Relax,13,15,11.298599,6.037781
5041,S-Bahn,28,15,7.737367,11.575031
5622,City game,44,15,6.547467,7.185852
6369,mare,2,15,3.2596114,4.3057494
4795,furniture,42,15,7.171856,6.8796997
4699,jobs,57,14,9.374017,6.979341
5039,playground,24,14,5.143368,6.9032583
5173,Coffee table,14,14,10.335292,1.3724124
6210,bas -reliefs,3,14,2.8406343,8.052591
6247,nature,43,14,5.9765143,7.9420676
7342,Paulista,-1,14,6.0077825,3.2074902
4707,Political sciences,60,14,9.956845,5.1103706
6126,sounds,4,14,2.2656207,7.1664324
5428,School,27,13,12.456993,3.6675482
4284,street,33,13,6.1421213,10.542945
7997,A,70,13,10.209275,4.27154
7998,of the,65,13,10.517892,4.4733605
5421,Workshop,-1,13,9.497387,7.3200297
7999,three,69,13,10.056631,4.47173
6809,streets,33,13,6.106962,10.560598
5122,hotels,-1,13,7.1169224,6.4130096
4851,Vision Australia,12,13,10.155316,9.988243
6778,Interior,42,12,7.409498,6.9232216
5698,Bacari,-1,12,5.931051,3.5230784
5314,Museos,17,11,11.504085,8.34154
6063,luci,20,11,5.462021,9.311919
5736,silence,13,11,11.095726,6.1641693
5247,Disabilities parking,-1,11,7.851579,10.800213
5140,Memorial,17,11,11.291125,8.298058
6367,Scalea,-1,11,7.774632,3.1437654
4812,good cafe,15,11,9.9471445,0.9901031
5227,architecture,-1,11,7.491527,7.347743
5750,perfumes,-1,11,9.520479,2.254075
4808,braille,-1,10,6.689207,3.718485
5864,Noise,4,10,2.0410461,6.9452615
7866,barcelona,-1,10,4.949366,2.96275
5855,vento,21,10,5.3280406,8.154239
4352,rain,21,10,5.2375016,8.419285
3683,Testing,0,9,13.241565,5.5627704
5303,Parque,24,9,5.168897,6.791176
5965,market,22,9,5.8602204,5.9695263
5753,people,36,9,11.256283,3.8181956
5804,Tactile maps,-1,9,9.144341,8.986241
6079,Sculpture,-1,9,10.365827,8.669765
6390,binary,52,9,7.343038,4.328034
5365,pueblos,45,9,6.7958736,7.6991715
4724,colonna,62,9,7.836347,3.442654
6138,Targa,67,9,6.879792,2.9504888
5229,Pool,1,9,3.512614,5.139586
6130,description,-1,8,10.684788,4.8764853
5037,u-Bahn,28,8,7.799171,11.599917
6513,Hello,68,8,10.421555,3.0146117
5234,Blindwiki,12,8,10.250112,10.503741
7242,test,0,8,13.232416,5.5166078
5072,Bicycle,31,8,7.208207,10.396302
7965,Way of lovers,36,8,10.795621,3.4506392
7996,Wednesday,-1,8,8.602926,2.7073047
6039,porta,48,8,8.833301,7.548857
4996,aerial obstacle,-1,7,8.665017,6.9997563
5137,tourists,29,7,8.162151,10.114048
7177,Following,69,7,10.0154,4.5260696
6340,pharmacy,22,7,6.237926,5.7303843
7599,Memorial da América,17,7,11.3747835,8.260529
5020,Urban art,19,7,10.852988,8.751233
7073,Street art,19,7,10.822089,8.855515
6331,as fosscari,67,7,6.8603706,2.545238
4865,legends,-1,7,10.823749,4.38361
4717,motor,46,7,8.542099,6.8156085
5725,Trattoria Pontini,67,7,6.731,2.4561608
5403,Camino de Santiago,66,7,5.181347,2.797675
5387,School,27,7,12.43618,3.6591594
6348,archi,67,7,7.408899,2.9404085
5104,Traffic light,-1,7,5.5617714,9.7145605
7839,Museum of Tomorrow,17,7,11.57913,8.299493
7058,hospital,49,7,7.8699145,6.1003594
4805,plans,-1,7,9.5048,6.5551434
6025,San Rocco,55,6,5.39009,1.49914
5092,Demonstration,11,6,12.159749,5.7144136
6552,beach,-1,6,3.2317302,3.9981034
4962,Traditional pastry,16,6,9.760931,1.5050049
6410,Judecca,53,6,6.024955,1.0571303
5738,seagull,10,6,4.411004,6.130106
5256,ATM,26,6,6.954315,4.8696566
5070,Travel,29,6,8.106649,10.071089
5158,orientation,-1,6,8.557576,9.270759
5477,Stop,-1,6,9.806232,5.7761254
7995,Testingr,0,6,13.2722645,5.606062
5854,Voices,-1,6,2.7991922,7.109945
7110,French chalet,-1,6,6.136616,3.9107563
5974,calm,13,6,11.220285,6.111465
4869,door,48,6,8.868572,7.593268
7199,Modernist house,42,6,7.369739,7.047894
5309,Stones,-1,6,8.689797,8.0869255
5781,Aosta,67,6,7.01243,3.0164564
5888,plant,8,6,8.085916,0.7399972
6248,night,20,6,5.440545,9.058073
5959,Redeemer,-1,6,9.049435,3.798525
6266,headquarters,57,6,9.493288,6.764726
2902,pizza,15,6,9.848172,0.9488872
5502,Joint,-1,6,7.9124904,4.0134473
7079,wall,47,6,9.032626,8.090918
2916,obj.casa,42,6,7.311087,6.8940487
7506,Carlos,66,6,5.683006,2.527837
5392,Catalan pavilion,66,6,4.8842134,2.8213332
6299,pace,13,6,11.177549,6.1074624
5167,Traffic,34,6,6.786582,10.914596
5107,Missing tactile paving,18,5,9.324889,8.942789
6994,UPV,59,5,8.598584,4.4397335
5079,Interviews,56,5,11.365376,4.703351
6532,pozzo,-1,5,6.3081574,2.9061337
5357,Kerns juices,7,5,7.6150465,1.0593632
6116,shopping,22,5,6.2518854,5.7065234
5909,touch,18,5,9.596338,8.982573
6027,relief,60,5,9.568204,5.483442
7717,MAM,36,5,11.113883,3.3097024
5182,Football,25,5,4.756084,7.5285234
5538,center,-1,5,7.8855376,9.884165
5139,fences,-1,5,8.523494,7.449383
5304,Traffic light without sound,20,5,5.508956,9.705441
7118,eai,-1,5,9.866196,3.721551
7323,Avenida Paulista,66,5,5.158939,2.7807472
7294,Exhibitions,11,5,12.168352,5.835696
5879,gondola,2,5,2.6864128,4.1860113
4775,chains,-1,5,8.024577,5.103138
7348,Santa Catarina Hospital,66,5,5.39902,2.2851803
5967,Fish market,10,5,5.0985203,5.734238
6341,tobacconists,50,5,8.605409,3.004242
5361,Summer,21,5,5.497599,8.263112
5621,silence,13,5,11.11083,6.1559505
5791,calm,13,5,11.222668,6.1084237
6228,Water danger,1,5,3.6054766,5.096088
7677,Bahia,39,5,5.082704,3.6766393
5456,Dwarf,-1,5,5.7794433,8.831161
5026,girl,36,5,11.829157,3.3302248
5402,Santiago de Compostela,66,5,5.1031127,2.8673916
4955,Rag,-1,5,7.926725,4.73798
5742,books,56,5,11.839722,4.3476863
6505,Service,64,5,9.830424,6.4787197
6069,marble,19,5,10.209504,8.614168
5075,Dog,10,5,4.7366166,6.2897344
5347,Trojan house,42,5,7.421658,6.6713347
7278,dance,-1,5,7.047111,9.123204
5133,curiosity,-1,5,10.383599,4.124638
6085,touch,18,5,9.6149645,8.996431
5727,Station # Yokoham #,28,5,7.9724865,11.684032
6086,wood,5,5,7.904366,0.22801283
5299,Banco,26,5,6.8867273,4.611532
6670,Amor,-1,5,10.676162,3.3669412
5767,Venezia,55,5,5.0193696,1.4469202
5281,Health,49,5,8.238991,5.9532347
4819,entrance,48,5,8.855592,7.558841
5934,Steps,37,5,7.9295077,8.948419
7412,FIESP,61,5,8.288132,3.8353639
4946,Domingo,66,4,5.387282,2.585961
5769,Appetizing,16,4,9.815417,1.3906517
4712,scaffolding,-1,4,7.9003744,7.022544
6820,Sing,3,4,2.9907782,7.4946713
5380,Heat,-1,4,9.066109,2.1653962
5686,Capital,44,4,6.611281,7.1423397
7141,mobility,-1,4,7.6774974,9.717439
6834,Bustle,-1,4,7.297242,3.9943707
7203,Curiosity,-1,4,10.448478,4.123876
6421,view,12,4,10.247663,9.812025
5483,Lock,-1,4,9.0514965,7.2780237
7992,Sound landscape,4,4,2.2480633,7.0613523
5068,Berlinische Galerie,26,4,6.187945,4.8702826
7900,North Station,28,4,8.01944,11.6575165
5829,Colors,19,4,10.714036,8.982053
5080,Oranienburgerstrasse,26,4,6.229103,4.7708817
4809,Meco,-1,4,6.311965,3.1507034
5985,Eco,43,4,5.9684467,7.9199696
7044,palm trees,5,4,7.7253413,0.31292486
5081,What Berlin,26,4,6.1799674,4.880465
4981,Ramp,61,4,8.068287,4.5353284
7161,free fair,23,4,5.943174,6.7570953
6316,Courtyards,45,4,6.746505,7.724377
5184,playing fields,25,4,4.6386924,7.309977
7494,WTF,-1,4,9.066298,3.945612
7941,hiking,30,4,8.353523,9.696502
7610,Gastronomy,-1,4,9.81465,1.1404879
6813,concert,3,4,3.165581,7.9304876
7180,pastel,16,4,9.697978,1.6025995
5112,Museum island,17,4,11.586766,8.294836
5644,Bus stop,-1,4,7.25628,11.4376
5926,stop,60,4,9.687437,5.669058
7183,sugarcane,7,4,7.484107,1.0104489
4954,Castle,-1,4,7.0747385,6.8027215
7742,Brazil,39,4,5.0222554,3.6880074
7243,São Paulo Cultural Center,39,4,4.9337974,3.6410728
5927,Crossroads,32,4,6.6813107,10.319118
6195,games,25,4,4.809118,7.6197796
5681,Campo Santa Margherita,66,4,5.208819,2.6623752
5762,Toilette,35,4,7.512524,5.4384794
