tag_id,text,cluster,count,x,y
5170,Ambient noise,1,481,7.9961786,3.1140292
4626,dangerous,61,265,1.3982961,4.9146605
4723,accessible,50,171,0.9632355,3.217748
4822,culture,10,143,1.1700189,1.4388376
5541,water,4,141,7.2461,4.7163734
5840,piazza,43,129,4.043603,3.6646402
5695,bridges,-1,128,4.7117705,1.4961998
7148,sorocaba,70,115,3.5120037,8.134133
5242,accessibility,50,82,0.95552045,3.2117996
6785,paseo,-1,77,4.0676594,8.456333
5760,crowded environment,-1,76,2.0262098,3.024753
4958,Caution,61,74,1.4254165,4.769486
5115,Odor,-1,72,0.2977515,8.363818
4968,Iglesia,52,68,2.1265035,9.589066
6882,neighborhood exploration,44,68,4.667221,3.9006767
4669,ristorante,12,66,-0.3749325,9.765035
4845,Music,2,64,7.4598436,1.9411236
2889,Bus,28,60,3.7385297,-0.14155415
5056,Tactile,13,58,0.5194011,2.2198734
5019,. Reference,-1,57,-1.3100544,5.155315
1710,bar,11,57,0.60052514,8.850626
5903,Calle dead,-1,57,1.2772692,5.8073616
5908,Venice at night,-1,55,3.0710502,10.249077
4668,scale,-1,53,2.5974019,4.127418
4984,cafeteria,12,51,-0.45031792,9.695011
4703,Loges route,18,51,3.004159,1.5486081
5799,wells,55,49,3.0925958,4.273664
4120,testing,0,47,-2.3485155,6.6762867
4896,garden,21,47,5.510827,6.7223873
4715,temporary,-1,46,1.0358741,5.3060436
5161,Humboldt University,34,44,-1.8843731,4.3968472
4790,tree,19,41,6.10077,7.180257
7988,Yolei,70,41,3.4618857,7.5359054
6796,maritime villages,5,41,8.357043,5.2243266
4679,machine,56,39,1.8927275,4.0976067
6810,cabanyal,-1,38,3.9870188,8.724009
7885,Coagabitat SCIGUDIPARTIALIMITALIZATORALS from the Startac ATIPICEDIZIONI,-1,37,2.9574745,8.146942
6765,33Bienal,-1,37,2.0168736,7.7939415
4705,bells,1,37,7.6564293,2.7239203
4825,shop,39,36,1.5619695,2.499127
5152,history,64,36,-0.24395908,5.7380533
1754,trial,0,34,-2.1333861,6.582859
5120,railway stations,28,34,3.1148787,-0.48912922
5922,BarCarizzi,53,33,2.9913733,9.36229
4820,drinking fountain,4,32,7.2057266,4.6981726
5296,Turismo,-1,32,3.8680084,8.251754
4704,sidewalk,36,31,4.943928,0.7380631
7989,Yoley,70,31,3.404929,7.453279
7990,Yoli,70,31,3.4465494,7.5406923
5231,Sound traffic lights,31,30,5.8678584,2.8021307
4863,park,22,30,5.208766,5.724346
4785,test,0,29,-2.3056421,6.6475425
5085,art,15,29,-0.18657798,1.7566605
5619,Girls,35,28,-1.1761872,4.08318
4828,food,12,27,-0.20469554,9.532524
5034,Birds,7,26,6.2870436,5.6719913
5771,Large channel,5,26,8.470322,5.0078597
4675,meeting,45,26,-0.8962231,4.7661204
6764,Tactile floors,13,25,0.6283054,2.2230277
5339,Non accesible,50,24,0.96867514,3.2565517
4693,tram,28,24,3.42012,-0.2265089
4624,sole,-1,24,1.4795116,6.5369463
5936,ghetto,43,23,4.3087063,3.6597579
5788,Steps,27,22,3.4055898,2.269746
5941,Calli,-1,22,2.3718274,7.1676426
6875,Paschal,69,22,2.2042658,6.9346576
6051,unique platform,51,22,0.6948964,3.6515744
4671,pebbles,55,22,2.9872234,4.2200375
6802,puerto,5,22,8.514629,5.0176682
5148,water fountain,4,22,7.242699,4.7126904
6250,foundations,56,22,2.6224499,4.6327147
4810,library,23,21,-1.8065841,5.3049207
4722,planner,51,21,1.0040132,3.908216
5236,Deport,25,21,3.2735786,3.028138
5178,Benches,22,21,5.1602,5.759035
5014,open space,-1,20,2.976153,4.5618186
7322,Japan House,42,19,4.104764,4.7277927
4227,Testapipi,69,19,2.074852,6.7485185
4228,apiTest,0,19,-2.3379176,6.66625
5759,carnevale,-1,19,2.217174,3.1465921
4801,transport,-1,19,3.5313816,0.021982374
5011,obstacle,56,19,2.1904993,4.320982
4975,Bike lane,24,19,3.7918255,0.8714327
7529,Laramara,-1,18,4.433555,8.623602
6948,Theater,2,18,6.9214444,1.7580017
5880,Sotoporty,-1,18,4.003667,8.951162
6666,Project,56,18,1.7579808,4.0009723
6671,Words and more,64,18,-0.48265958,5.884242
5036,Works of art,15,17,-0.10366539,1.710474
4700,incivility,47,17,0.38222405,4.9824576
7631,MACS,51,16,0.6580106,3.689762
5283,Monument,9,16,0.57003146,1.1241422
5732,boats,5,16,8.552926,5.1223993
7239,SP Cultural Center,10,16,1.1611744,1.1087512
6050,streets for everyone,36,16,4.971566,0.7296524
6814,Sensations,48,16,-0.7520252,6.866199
5391,Vaporetto,-1,16,2.727883,6.958208
6114,Services,51,16,0.7754088,3.969905
5919,Calle Chiusa,-1,16,3.4486334,8.621719
8001,saidus,-1,15,0.30178958,6.575479
5057,sculptures,-1,15,0.3192807,1.6078764
6148,Relax,3,15,-1.2687159,8.249693
5041,S-Bahn,28,15,3.2717335,-0.3331617
5622,City game,43,15,4.3970256,3.5967891
6369,mare,4,15,7.891158,5.0598907
4795,furniture,42,15,4.1139665,4.922894
4699,jobs,56,14,1.6332223,3.7453783
5039,playground,22,14,5.0530715,5.692156
5173,Coffee table,12,14,-0.7007883,9.222417
6210,bas -reliefs,2,14,7.588374,1.85916
6247,nature,16,14,5.5642095,5.04854
7342,Paulista,-1,14,3.3816082,8.952591
4707,Political sciences,47,14,0.057946928,5.1939807
6126,sounds,1,14,7.8148475,2.8258846
5428,School,34,13,-1.7541709,4.134739
4284,street,36,13,4.8761654,0.66520923
7997,A,65,13,-0.1382742,6.1885123
7998,of the,-1,13,-0.17012198,5.968089
5421,Workshop,56,13,1.5482839,3.7629704
7999,three,-1,13,0.21139342,6.015016
6809,streets,36,13,4.9229555,0.7129644
5122,hotels,-1,13,3.7869115,5.093673
4851,Vision Australia,14,13,-1.1407533,1.7692306
6778,Interior,42,12,3.8398685,4.6388745
5698,Bacari,-1,12,4.081208,8.855044
5314,Museos,9,11,0.5896036,0.9054757
6063,luci,31,11,5.902618,3.2431648
5736,silence,3,11,-1.5181311,7.985416
5247,Disabilities parking,-1,11,3.007837,0.41175872
5140,Memorial,9,11,0.61604154,0.9822424
6367,Scalea,69,11,2.2733483,7.18483
4812,good cafe,12,11,-0.4730045,9.703227
5227,architecture,43,11,3.83918,4.1901975
5750,perfumes,-1,11,0.31620365,8.418583
4808,braille,-1,10,2.2687843,8.225874
5864,Noise,1,10,8.032204,3.044246
7866,barcelona,-1,10,4.316774,9.380222
5855,vento,30,10,5.9513674,4.2006903
4352,rain,30,10,6.2052827,4.200449
3683,Testing,0,9,-2.3378205,6.667325
5303,Parque,22,9,5.2343726,5.727012
5965,market,40,9,2.001031,2.6376553
5753,people,32,9,-0.36790347,4.3141994
5804,Tactile maps,13,9,0.7015803,2.265077
6079,Sculpture,15,9,0.32890496,1.63562
6390,binary,46,9,1.6487249,7.6448298
5365,pueblos,44,9,4.7064104,4.0704904
4724,colonna,-1,9,1.8679075,7.0725493
6138,Targa,70,9,3.3621674,8.008937
5229,Pool,4,9,7.232467,4.7016225
6130,description,-1,8,-0.526204,5.6891923
5037,u-Bahn,28,8,3.2518096,-0.35840955
6513,Hello,67,8,-0.3607829,7.390688
5234,Blindwiki,14,8,-1.4747545,1.3250777
7242,test,0,8,-2.3157105,6.6562214
5072,Bicycle,24,8,3.6980596,0.86913526
7965,Way of lovers,48,8,-0.6555935,6.646927
7996,Wednesday,-1,8,0.8674145,7.7534204
6039,porta,25,8,3.4076269,3.1978297
4996,aerial obstacle,-1,7,2.4702134,4.187577
5137,tourists,17,7,2.6895223,1.0899928
7177,Following,-1,7,0.28126374,6.0600033
6340,pharmacy,39,7,1.5501052,2.5563862
7599,Memorial da América,9,7,0.59112394,0.9828156
5020,Urban art,15,7,0.018255245,1.6080357
7073,Street art,15,7,-0.09628036,1.6554495
6331,as fosscari,70,7,3.0654998,8.293084
4865,legends,-1,7,-0.64204764,5.879242
4717,motor,56,7,1.9354215,4.102883
5725,Trattoria Pontini,-1,7,3.035789,8.356669
5403,Camino de Santiago,-1,7,4.2675276,9.306338
5387,School,34,7,-1.7423562,4.102241
6348,archi,68,7,2.954336,7.441334
5104,Traffic light,-1,7,5.8390746,2.7672076
7839,Museum of Tomorrow,9,7,0.5635052,0.8305157
7058,hospital,57,7,2.288139,4.9706826
4805,plans,51,7,0.9967843,3.9766955
6025,San Rocco,54,6,2.934345,9.886764
5092,Demonstration,8,6,-1.1829404,3.344687
6552,beach,5,6,8.210202,5.309496
4962,Traditional pastry,12,6,-0.29696357,9.302016
6410,Judecca,52,6,2.0377662,9.530924
5738,seagull,7,6,6.3512774,5.70557
5256,ATM,-1,6,1.4293007,3.921706
5070,Travel,17,6,2.7753484,1.1330203
5158,orientation,-1,6,2.7570462,2.3366814
5477,Stop,-1,6,0.94359434,5.2314916
7995,Testingr,0,6,-2.357501,6.6831017
5854,Voices,-1,6,7.2971225,2.667526
7110,French chalet,-1,6,2.4687698,8.721421
5974,calm,3,6,-1.4308851,8.082869
4869,door,25,6,3.4215105,3.1631896
7199,Modernist house,42,6,4.034157,4.5700655
5309,Stones,55,6,3.0525377,4.2093463
5781,Aosta,70,6,3.3566077,7.727275
5888,plant,21,6,5.602072,6.9455404
6248,night,31,6,5.923459,3.4260423
5959,Redeemer,59,6,1.2640713,6.9525366
6266,headquarters,-1,6,1.0891422,3.86107
2902,pizza,12,6,-0.17044587,9.6254425
5502,Joint,69,6,1.9903312,6.944309
7079,wall,49,6,2.8644876,3.6031177
2916,obj.casa,42,6,4.14629,4.7349505
7506,Carlos,71,6,3.7418916,9.025088
5392,Catalan pavilion,-1,6,3.9371424,9.523038
6299,pace,3,6,-1.4416348,8.047796
5167,Traffic,37,6,4.199044,0.3895913
5107,Missing tactile paving,13,5,0.6350988,2.2197578
6994,UPV,59,5,1.3829243,6.804274
5079,Interviews,45,5,-0.91492915,5.040925
6532,pozzo,-1,5,3.808144,8.377462
5357,Kerns juices,20,5,5.287905,7.6213207
6116,shopping,39,5,1.530324,2.5624933
5909,touch,-1,5,0.39164263,2.5393026
6027,relief,-1,5,0.71821904,5.082973
7717,MAM,32,5,-0.64683014,4.2030826
5182,Football,33,5,4.4047346,5.9383545
5538,center,6,5,2.0094702,0.85762674
5139,fences,-1,5,3.4127812,3.5896175
5304,Traffic light without sound,-1,5,5.865246,2.7851706
7118,eai,-1,5,0.1241186,6.709225
7323,Avenida Paulista,73,5,4.092388,9.534572
7294,Exhibitions,8,5,-1.1304818,3.2122643
5879,gondola,5,5,8.685701,5.204026
4775,chains,63,5,2.351622,5.5104117
